gid,date,temperature_2m,dewpoint_temperature_2m,surface_pressure,u_component_of_wind_10m,v_component_of_wind_10m,surface_solar_radiation_downwards_hourly,surface_thermal_radiation_downwards_hourly,total_precipitation_hourly
cell_01,2020-01-01 00:00,246.05556518554687,243.15817993164063,98486.22546875,1.833551025390625,-2.59498779296875,0.0,742371.24,7.894337177276612E-5
cell_02,2020-01-01 00:00,246.4125183105469,243.54044555664063,98821.58546875,1.897926025390625,-2.32358154296875,0.0,746886.04,8.850634098052979E-5
cell_03,2020-01-01 00:00,246.56283081054687,243.70075805664064,98756.22546875,1.937261962890625,-1.80311279296875,0.0,749606.04,1.029348373413086E-4
cell_01,2020-01-01 01:00,246.21806518554686,243.32787841796875,98482.4675,1.4871429443359374,-2.76123291015625,0.0,741722.6625,1.049715280532837E-4
cell_02,2020-01-01 01:00,246.55915893554686,243.69334716796874,98820.6275,1.4737054443359374,-2.52396728515625,0.0,746340.0325,1.165580004453659E-4
cell_03,2020-01-01 01:00,246.68728393554687,243.82451904296875,98766.2675,1.4894476318359375,-2.08154541015625,0.0,750181.5825,1.322656124830246E-4
cell_01,2020-01-01 02:00,246.47359252929687,243.60328125,98511.23734375,1.2976385498046874,-2.755146484375,0.0,753449.49,1.31998211145401E-4
cell_02,2020-01-01 02:00,246.81476440429688,243.966875,98848.47734375,1.2540447998046875,-2.592177734375,0.0,757533.53,1.4129631221294404E-4
cell_03,2020-01-01 02:00,246.91328002929689,244.068984375,98793.07734375,1.2207635498046876,-2.159599609375,0.0,759061.97,1.5510566532611847E-4
cell_01,2020-01-01 03:00,246.61028930664062,243.75716613769532,98533.9975,1.07798095703125,-2.8026995849609375,0.0,745897.14,1.408092677593231E-4
cell_02,2020-01-01 03:00,246.93755493164062,244.10200988769532,98870.7975,1.04868408203125,-2.5985589599609376,0.0,750144.85,1.4607220888137817E-4
cell_03,2020-01-01 03:00,247.04966430664064,244.21740051269532,98815.1975,1.05911376953125,-2.2295745849609374,0.0,753783.56,1.5740960836410522E-4
cell_01,2020-01-01 04:00,246.8097216796875,243.9720703125,98599.6934375,0.9402752685546875,-3.0066131591796874,0.0,747144.2275,1.501479744911194E-4
cell_02,2020-01-01 04:00,247.1194091796875,244.3025390625,98937.2534375,0.9384002685546875,-2.7309490966796877,0.0,751551.9075,1.521681249141693E-4
cell_03,2020-01-01 04:00,247.2280810546875,244.4177734375,98881.5734375,0.9368377685546875,-2.2745819091796875,0.0,754196.3875,1.6008108854293824E-4
cell_01,2020-01-01 05:00,247.0427215576172,244.22082092285157,98615.38109375,0.684808349609375,-3.1654998779296877,0.0,755729.58,1.52110755443573E-4
cell_02,2020-01-01 05:00,247.3169403076172,244.51730529785155,98954.74109375,0.707777099609375,-2.8451873779296877,0.0,757870.94,1.5377312898635866E-4
cell_03,2020-01-01 05:00,247.38373718261718,244.58582092285155,98900.18109375,0.731409912109375,-2.3802264404296873,0.0,757240.14,1.5992462635040284E-4
cell_01,2020-01-01 06:00,247.29661926269532,244.49361206054687,98648.90125,0.3411395263671875,-3.222548828125,0.0,759225.42,1.3729095458984376E-4
cell_02,2020-01-01 06:00,247.5481036376953,244.76533081054689,98989.46125,0.3784051513671875,-2.923330078125,0.0,762764.66,1.4053642749786377E-4
