gid,date,temperature_2m,dewpoint_temperature_2m,surface_pressure,u_component_of_wind_10m,v_component_of_wind_10m,surface_solar_radiation_downwards_hourly,surface_thermal_radiation_downwards_hourly,total_precipitation_hourly
tl27,2021-01-01 00:00,265.16379228675686,263.7061116828309,97808.54555423824,-3.6727305111441657,0.06243438163883089,50493.79564615578,915027.3744809363,1.4466679934752099E-5
tl47,2021-01-01 00:00,264.9860072341994,263.4775663245274,98178.35717426582,-3.6813926506524015,0.015048393618499314,46805.156576407106,905421.4944804712,1.217537212829756E-5
kg,2021-01-01 00:00,263.29513583973744,261.98679056702053,97499.0721187902,-1.7773572331274474,-0.16490560270037397,33954.46817522255,950522.2624416644,3.109397238444111E-5
kfc,2021-01-01 00:00,262.4370551686007,261.0715939127604,97622.46175061274,-1.4795306765986425,0.1008470554725796,28252.906980392152,937269.7909803921,1.841034491856893E-5
cnl,2021-01-01 00:00,263.4675762841964,261.95218386174173,97425.91027515038,-2.228791577170894,-0.5499300756736609,34686.915063539105,959366.7505148425,1.039198224635179E-4
utq,2021-01-01 00:00,244.83450999421385,241.77211426895866,101979.3041467692,-6.32229120251395,-0.8114638232026506,0.0,556656.2722026015,3.055953601604184E-6
tvc,2021-01-01 00:00,243.95870539837205,241.19504798949674,101246.6534359883,1.6827907077646664,-0.003943038404450253,0.0,578543.6320055785,3.474579852408503E-6
tfs,2021-01-01 00:00,249.49894744754576,241.3159493085399,90432.78732330809,-1.1821698299449703,1.4250801565450875,0.0,512997.5049217619,1.0594848913465551E-9
abs,2021-01-01 00:00,265.11633379112794,264.0790679296133,91109.73606639603,-2.170365598651587,0.9256193933779038,0.0,894945.795442959,1.3228822789513293E-4
bs,2021-01-01 00:00,266.1139129704906,264.68343256817394,98340.92633656063,-2.1674120582708896,0.7841440615806642,0.0,974300.9544221378,1.1957272264663772E-5
si,2021-01-01 00:00,248.84275889941316,245.96324562347527,101604.04500889148,6.986353142936407,-1.4254256160595247,0.0,745504.2809391894,6.447431637180879E-5
tl27,2021-01-01 01:00,265.1021928817233,263.64406686016974,97752.37587886942,-3.7819014071998196,-0.14540931487572456,16568.17136969926,917945.419930477,2.6632410374391422E-5
tl47,2021-01-01 01:00,264.95409637174714,263.4421708262926,98125.76347473515,-3.7877842303721194,-0.18428387162024584,14341.825231424185,911388.5150363841,1.953802266111646E-5
kg,2021-01-01 01:00,263.3016811349756,262.00507063282026,97443.68439387328,-1.8836047628345784,-0.22588534044552758,8310.776844189966,941895.0517716379,9.90113809434796E-5
kfc,2021-01-01 01:00,262.3726317210478,261.0022857474533,97568.19675245098,-1.49861626329609,0.01185052609911155,5093.742843137255,925180.9589117647,6.188086197510652E-5
cnl,2021-01-01 01:00,263.9157934777554,262.40067808176246,97372.02115327866,-2.3909880989577097,-0.5018187635025989,7290.901577176152,985485.2329850821,3.1951357531888254E-4
utq,2021-01-01 01:00,244.71967462820132,241.6890294606274,101944.50587502157,-6.371706228414778,-0.9427033127899656,0.0,571117.4029632183,3.2154578952705514E-6
tvc,2021-01-01 01:00,243.5635173022566,240.80971190815745,101255.30158442649,1.7018962304178389,0.22890711740889272,0.0,544915.4482262705,2.7807339409620005E-6
tfs,2021-01-01 01:00,249.05908713925524,240.73064795325442,90408.12146983709,-1.3193013641412474,1.4374598749918428,0.0,520166.7573091103,1.0783312166338836E-9
abs,2021-01-01 01:00,265.1347281264018,264.1200873215877,91132.1375096818,-2.010121864301794,0.8737723667194597,0.0,866000.8417143812,7.429987589826008E-5
bs,2021-01-01 01:00,266.20511236827264,264.90805716884574,98342.66365131579,-2.163600409347857,1.0611587085610037,0.0,994865.4533454283,1.9251300341374386E-5
si,2021-01-01 01:00,249.5511893614517,246.7120014247673,101499.24058696473,6.9251763554174675,-1.5646813582040033,0.0,761489.2467187434,7.823721434516845E-5
tl27,2021-01-01 02:00,265.0095898465149,263.5843574943461,97670.72697588321,-3.945113753168422,-0.16579721522088228,-0.002154901220586385,903798.0216905752,5.5637832016607835E-5
tl47,2021-01-01 02:00,264.86592664558594,263.40389207030137,98043.76123648736,-3.866607772708559,-0.25017805898740125,4.950249987624368E-4,896207.9026564279,3.97649871973872E-5
kg,2021-01-01 02:00,263.4638343110001,262.1769364670148,97359.6404796205,-2.066385127267696,-0.18870065947075285,0.0013235813169143885,951526.4235092552,2.2205901135153206E-4
kfc,2021-01-01 02:00,262.4348565889247,261.06077393056836,97484.8481685049,-1.6258643457749307,-0.017320458505667914,0.005,928088.4487058824,1.6792673329074008E-4
cnl,2021-01-01 02:00,264.3205217252905,262.8303699388983,97293.99579512564,-2.5808873936055656,-0.41693210501213135,0.004771711286352908,994752.7960250389,4.7138426017830684E-4
utq,2021-01-01 02:00,244.61454350371844,241.57849023565788,101886.2490245311,-6.6318605472099055,-1.262797313344829,0.0,558119.4117118185,3.1826412293202244E-6
tvc,2021-01-01 02:00,243.30332651656167,240.54237671217638,101249.28717593756,1.5727928781388871,0.4888155230729383,0.0,564299.519115532,2.67343069284253E-6
tfs,2021-01-01 02:00,248.5988221414053,240.15076042518496,90342.48651279832,-1.4276990053854663,1.4942263977177652,0.0,535093.1985494532,1.0783312166338836E-9
abs,2021-01-01 02:00,265.12132317698513,264.13397407449474,91142.83562452823,-1.927812233630936,0.8388682065877204,0.0,863679.722315091,4.968834334043643E-5
bs,2021-01-01 02:00,266.5936162392859,265.4050580923543,98365.16877840138,-2.083971887713725,1.3808922853019663,0.0,1039334.8436736977,2.9114786382891933E-5
si,2021-01-01 02:00,250.28270293830502,247.4949698579633,101414.61102325693,6.811458130970797,-1.842721913533173,0.0,774257.5009508837,9.74296800400723E-5
tl27,2021-01-01 03:00,264.94703974615214,263.5024972802606,97592.06579526865,-4.122217575799028,-0.02496284512704283,0.205832389580974,889003.9786476031,6.892397691314892E-5
tl47,2021-01-01 03:00,264.8075453123417,263.3247131012282,97963.8631070244,-4.011684106426731,-0.12374657065872746,0.28654522053363696,878079.4866064799,5.6023036974514185E-5
kg,2021-01-01 03:00,263.6769542474925,262.4026496821681,97280.462326954,-2.215959633026428,-0.07287492216874623,0.26583395427271655,954092.8964689793,2.8273877415466685E-4
kfc,2021-01-01 03:00,262.6958688031365,261.3295529928768,97406.27405882353,-1.7725966662238626,0.021377494064031843,0.2845490196078432,945698.1874411765,2.5948172194116255E-4
cnl,2021-01-01 03:00,264.7110327277503,263.244171812435,97220.38977974784,-2.745977382764338,-0.2479013719577397,0.21696217790948813,1004530.8984598675,4.184287813465876E-4
utq,2021-01-01 03:00,244.6787906804127,241.6076117417067,101839.7350008614,-7.004523443799886,-1.4923936204912742,0.0,555937.8756729694,3.607069210433584E-6
tvc,2021-01-01 03:00,242.76597137437875,240.01476918315873,101246.45621241177,1.4719623326943538,0.8466995174089101,0.0,546641.7731903164,2.575574893591077E-6
tfs,2021-01-01 03:00,248.43038835887933,239.7255711233277,90293.55927193226,-1.4993199333078124,1.5199947966805236,0.0,541972.1208993491,2.1566624332677672E-9
abs,2021-01-01 03:00,265.05026683450586,264.072509437698,91161.27867269308,-1.8285055600725884,0.7635936954731223,0.0,870504.1920590026,4.4761269702023715E-5
bs,2021-01-01 03:00,266.9688074833274,265.85702443446286,98361.09807379273,-1.953128559073222,1.682419957509199,0.0,1046023.4761428381,3.662859875460196E-5
si,2021-01-01 03:00,250.94913094560994,248.24667859147843,101315.04659044465,6.45020528876753,-2.23802098089248,0.0,775547.2349022437,1.0232836673985097E-4
tl27,2021-01-01 04:00,265.2707740608006,263.74878946940106,97526.3010756811,-4.532929836886176,0.2618541839933702,0.0,927399.2916352084,6.386761512451238E-5
tl47,2021-01-01 04:00,265.109129455938,263.55948232198773,97896.18937220002,-4.356041693839689,0.12808077526909248,0.0,909501.273983961,6.201176320342202E-5
kg,2021-01-01 04:00,264.2259315452724,262.9039659617186,97220.36198570287,-2.3647359199648097,0.12703531744657884,0.0,981463.0539334877,2.4144310327276364E-4
kfc,2021-01-01 04:00,263.39746841011794,261.9952391477098,97344.71833210783,-1.900316010867848,0.1564024777879902,0.0,981551.4444117647,2.514141792175817E-4
cnl,2021-01-01 04:00,265.1132856569535,263.6404196451643,97167.61401760824,-2.9697350939308493,0.05403300225989188,0.0,1010773.0200663013,2.784063251175162E-4
utq,2021-01-01 04:00,244.81724991947502,241.7538459640477,101797.30178161884,-7.164857488545616,-1.4901225464382435,0.0,569818.4432121632,3.3575978243378704E-6
tvc,2021-01-01 04:00,242.11134016658264,239.37231618475084,101211.41665826834,1.3426333278389018,1.2367098274719721,0.0,546983.5017759087,2.208689810050809E-6
tfs,2021-01-01 04:00,248.34846583889671,239.33683181859058,90234.17668431855,-1.4975072495390092,1.5633565028362026,0.0,537018.9833424843,6.535292008357069E-9
abs,2021-01-01 04:00,264.84102544294984,263.8759351443337,91167.4900299399,-1.7479946690824233,0.6527175056573912,0.0,873099.5701792233,4.254000695987173E-5
bs,2021-01-01 04:00,267.2520016914985,266.28163457447204,98360.38874711745,-1.9221184042828665,1.9211500626314097,0.0,1032954.7931022792,3.5461238714271554E-5
si,2021-01-01 04:00,251.55965053912303,248.94411126830684,101267.73130414358,5.7999218417489535,-2.81949417597267,0.0,780988.3340183483,9.611609385396781E-5
tl27,2021-01-01 05:00,265.58758176460617,264.02569334501294,97460.25279488333,-4.6130693986968785,0.5234308047190813,0.02107713602617339,950701.6767333586,5.2967225626247906E-5
tl47,2021-01-01 05:00,265.4106027204609,263.80907955295254,97828.35750434693,-4.474538605104938,0.39110670292249416,-0.022078114944804723,925749.8146378892,5.4700865409945584E-5
kg,2021-01-01 05:00,264.5996392217635,263.2654692112285,97151.64310702137,-2.465779987474185,0.31952757206873456,-0.012118122279305067,988400.2692458527,1.6319952533218812E-4
kfc,2021-01-01 05:00,263.8501297703163,262.450831191119,97273.79375367645,-1.9979812149347043,0.3187305190142464,-0.019215686274509806,982168.1934705883,1.70977430600746E-4
cnl,2021-01-01 05:00,265.3440026717205,263.8720432016885,97101.4578413814,-3.09524036518411,0.30766843308808006,0.128183233713396,1002510.2890652467,1.8537762994037888E-4
utq,2021-01-01 05:00,244.79126393882308,241.72235000561724,101747.78213630052,-7.144629377657073,-1.3136721717899538,0.0,543213.2679386684,3.5001850834660106E-6
